learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
8190.0,8190.0,61.41494743146052,18.05684478489025,-51.9763625765693,-161.44250070608174,6569.0,1621.0,58.9572533313801,76.19350917683167,41.042746668620616,23.8064908231684,0.8308633469690675,0.16913665303093298,5863.0,1.40627775E9
8191.0,8191.0,61.800797957145924,19.631961243222396,-46.1613030972504,-144.69510869119054,6569.0,1622.0,58.9572533313801,76.43157410487775,41.042746668620616,23.56842589512231,0.8308633469690675,0.16913665303093298,5863.0,1.406278478E9
8192.0,8192.0,61.18278997757447,18.94402799641121,-44.44358456882379,-151.1655783145735,6570.0,1622.0,58.36768079806629,76.43157410487775,41.63231920193442,23.56842589512231,0.8308633469690675,0.16913665303093298,5864.0,1.406278569E9
8193.0,8193.0,60.570962077798725,18.27864421670323,-48.20229392973068,-157.70140621698064,6571.0,1622.0,57.78400399008563,76.43157410487775,42.21599600991509,23.56842589512231,0.8308633469690675,0.16913665303093298,5866.0,1.406279509E9
8194.0,8194.0,60.96525245702074,18.523973797076575,-48.202293929730665,-157.7014062169808,6572.0,1622.0,58.20616395018479,76.43157410487775,41.79383604981593,23.56842589512231,0.8308633469690675,0.16913665303093298,5867.0,1.406279835E9
8195.0,8195.0,60.35559993245053,17.871935871283814,-52.0373203157188,-164.36993789987724,6573.0,1622.0,57.624102310682936,76.43157410487775,42.375897689317775,23.56842589512231,0.824229166364383,0.17577083363561744,5869.0,1.406281093E9
8196.0,8196.0,59.75204393312603,17.24136257512669,-55.91108434196943,-171.10582848866193,6574.0,1622.0,57.047861287576104,76.43157410487775,42.952138712424606,23.56842589512231,0.824229166364383,0.17577083363561744,5870.0,1.406281295E9
8197.0,8197.0,59.15452349379478,16.63153738596631,-59.82397729777814,-177.90975837632303,6575.0,1622.0,56.47738267470034,76.43157410487775,43.522617325300374,23.56842589512231,0.8259868747007392,0.17401312529926125,5872.0,1.406283346E9
8198.0,8198.0,59.56297825885682,16.8737960352052,-59.8239772977782,-177.90975837632305,6576.0,1622.0,56.91260884795334,76.43157410487775,43.08739115204737,23.56842589512231,0.8259868747007392,0.17401312529926125,5873.0,1.406284194E9
8199.0,8199.0,59.96734847626827,17.11224917664577,-59.82397729777824,-177.90975837632303,6577.0,1622.0,57.343482759473815,76.43157410487775,42.656517240526895,23.56842589512231,0.8277270059537318,0.17227299404626864,5875.0,1.40628501E9
8200.0,8200.0,59.36767499150558,16.506102325673552,-63.856644502226246,-184.92195759291624,6578.0,1622.0,56.770047931879084,76.43157410487775,43.22995206812163,23.56842589512231,0.8277270059537318,0.17227299404626864,5877.0,1.406286656E9
8201.0,8201.0,59.77399824159053,16.740972060654773,-63.85664450222626,-184.92195759291607,6579.0,1622.0,57.202347452560296,76.43157410487775,42.797652547440414,23.56842589512231,0.8277270059537318,0.17227299404626864,5879.0,1.406287291E9
8202.0,8202.0,60.17625825917463,18.262173517782823,-57.38112465726653,-165.8980793773899,6579.0,1623.0,57.202347452560296,76.66725838324908,42.797652547440414,23.332741616750987,0.8277270059537318,0.17227299404626864,5880.0,1.406288459E9
8203.0,8203.0,60.5744956765829,18.503549350232902,-51.339848588620164,-165.89807937738988,6580.0,1623.0,57.6303239780347,76.66725838324908,42.369676021966015,23.332741616750987,0.8022142471565833,0.19778575284341707,5882.0,1.406291672E9
8204.0,8204.0,59.968750719817066,17.867137785757443,-55.21725070563262,-172.71052028771436,6581.0,1623.0,57.05402073825435,76.66725838324908,42.94597926174636,23.332741616750987,0.7961501836381673,0.20384981636183305,5883.0,1.406293191E9
8205.0,8205.0,60.3690632126189,18.104981765653857,-55.21725070563262,-172.71052028771444,6582.0,1623.0,57.48348053087181,76.66725838324908,42.5165194691289,23.332741616750987,0.7961501836381673,0.20384981636183305,5884.0,1.406293905E9
8206.0,8206.0,59.7653725804927,17.481060339090295,-59.17337979145295,-179.66128134303997,6583.0,1623.0,56.9086457255631,76.66725838324908,43.09135427443761,23.332741616750987,0.7961501836381673,0.20384981636183305,5885.0,1.40629409E9
8207.0,8207.0,60.16771885468779,17.715388358157497,-59.17337979145293,-179.6612813430399,6584.0,1623.0,57.33955926830747,76.66725838324908,42.66044073169324,23.332741616750987,0.7961501836381673,0.20384981636183305,5886.0,1.406294422E9
8208.0,8208.0,60.56604166614091,17.946065831354844,-59.17337979145293,-179.66128134303997,6585.0,1623.0,57.766163675624405,76.66725838324908,42.233836324376306,23.332741616750987,0.7961501836381673,0.20384981636183305,5887.0,1.406294435E9
8209.0,8209.0,59.9603812494795,17.326214653785563,-63.250606590429705,-186.8248062516769,6586.0,1623.0,57.18850203886816,76.66725838324908,42.81149796113255,23.332741616750987,0.7902067949837678,0.20979320501623258,5888.0,1.40629775E9
8210.0,8210.0,59.36077743698471,16.7268745170257,-67.36901749848691,-194.06068999777494,6587.0,1623.0,56.616617018479474,76.66725838324908,43.38338298152124,23.332741616750987,0.7902067949837678,0.20979320501623258,5890.0,1.406298357E9
8211.0,8211.0,59.76716966261487,16.95426137810939,-67.36901749848694,-194.06068999777526,6588.0,1623.0,57.05045084829469,76.66725838324908,42.94954915170602,23.332741616750987,0.7843816797635907,0.21561832023640956,5890.0,1.406299121E9
8212.0,8212.0,59.16949796598872,16.36672743195805,-71.57104883004212,-201.44349149364103,6589.0,1623.0,56.47994633981174,76.66725838324908,43.52005366018897,23.332741616750987,0.7843816797635907,0.21561832023640956,5893.0,1.406299532E9
8213.0,8213.0,58.577802986328834,15.798687254439681,-75.8155249225222,-208.9008667419903,6590.0,1623.0,55.91514687641362,76.66725838324908,44.08485312358708,23.332741616750987,0.773076901898003,0.2269230981019973,5893.0,1.406303286E9
8214.0,8214.0,57.992024956465535,15.249468011669748,-80.10287451088587,-216.43356901305006,6591.0,1623.0,55.35599540764948,76.66725838324908,44.64400459235122,23.332741616750987,0.7675926715502327,0.23240732844976755,5910.0,1.406311988E9
