learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
14487.0,14487.0,70.53394538855711,9.808753608777915,-336.1668595152527,-681.1953793151254,11980.0,2507.0,70.06932266024279,66.90242631079347,29.93067733975789,33.09757368920654,0.8253638013334544,0.17463619866654523,4264.0,1.499373442E9
14488.0,14488.0,69.82860593467154,9.375047619858213,-351.1187284090906,-707.9748804101256,11981.0,2507.0,69.36862943364035,66.90242631079347,30.631370566360317,33.09757368920654,0.8188390616869187,0.181160938313081,4271.0,1.499376144E9
14489.0,14489.0,70.13031987532483,9.439942036006101,-351.11872840909115,-707.9748804101271,11982.0,2507.0,69.67494313930395,66.90242631079347,30.325056860696716,33.09757368920654,0.8188390616869187,0.181160938313081,4272.0,1.499376149E9
14490.0,14490.0,70.42901667657159,9.504096023524033,-351.11872840909103,-707.974880410129,11983.0,2507.0,69.97819370791092,66.90242631079347,30.021806292089742,33.09757368920654,0.8320740855414648,0.1679259144585349,4287.0,1.499434157E9
14491.0,14491.0,70.72472650980588,9.567518997669456,-351.118728409092,-707.97488041013,11984.0,2507.0,70.27841177083182,66.90242631079347,29.721588229168844,33.09757368920654,0.8320740855414648,0.1679259144585349,4288.0,1.499434167E9
14492.0,14492.0,71.01747924470784,9.63022023335293,-351.118728409093,-707.9748804101314,11985.0,2507.0,70.57562765312349,66.90242631079347,29.42437234687716,33.09757368920654,0.8320740855414648,0.1679259144585349,4289.0,1.499434205E9
14493.0,14493.0,71.30730445226077,9.692208867666091,-351.1187284090932,-707.9748804101323,11986.0,2507.0,70.86987137659226,66.90242631079347,29.130128623408385,33.09757368920654,0.8320740855414648,0.1679259144585349,4290.0,1.499434235E9
14494.0,14494.0,70.59423140773816,9.25669334478048,-366.9999648890657,-736.418922604796,11987.0,2507.0,70.16117266282636,66.90242631079347,29.838827337174312,33.09757368920654,0.8320740855414648,0.1679259144585349,4293.0,1.499437004E9
14495.0,14495.0,70.88828909366079,9.317836819817021,-366.999964889066,-736.4189226048006,11988.0,2507.0,70.4595609361981,66.90242631079347,29.540439063802566,33.09757368920654,0.8320740855414648,0.1679259144585349,4298.0,1.499443251E9
14496.0,14496.0,70.17940620272417,8.901007708924926,-383.20365479823215,-765.4404940716569,11989.0,2507.0,69.75496532683611,66.90242631079347,30.24503467316455,33.09757368920654,0.8320740855414648,0.1679259144585349,4301.0,1.499446884E9
14497.0,14497.0,70.47761214069695,8.961297083583982,-383.2036547982334,-765.4404940716593,11990.0,2507.0,70.05741567356777,66.90242631079347,29.942584326432904,33.09757368920654,0.8320740855414648,0.1679259144585349,4302.0,1.499446889E9
14498.0,14498.0,70.77283601928997,9.0209050098628,-383.203654798233,-765.4404940716606,11991.0,2507.0,70.35684151683209,66.90242631079347,29.643158483168573,33.09757368920654,0.8320740855414648,0.1679259144585349,4303.0,1.499450787E9
14499.0,14499.0,71.0651076590971,9.079840016620757,-383.2036547982336,-765.4404940716607,11992.0,2507.0,70.65327310166379,66.90242631079347,29.34672689833689,33.09757368920654,0.9020323174076595,0.0979676825923405,4272.0,1.499701635E9
14500.0,14500.0,70.35445658250612,8.671291971014119,-400.0720258308859,-795.6525407226329,11993.0,2507.0,69.94674037064713,66.90242631079347,30.05325962935353,33.09757368920654,0.914890985961224,0.08510901403877612,4266.0,1.499713172E9
14501.0,14501.0,69.65091201668106,8.284830678870506,-417.11078444972776,-826.1697595619939,11994.0,2507.0,69.24727296694067,66.90242631079347,30.75272703306,33.09757368920654,0.8388846955069469,0.1611153044930531,4264.0,1.499723627E9
14502.0,14502.0,69.95440289651425,8.342747107716084,-417.11078444972804,-826.1697595619959,11995.0,2507.0,69.55480023727127,66.90242631079347,30.4451997627294,33.09757368920654,0.8899088438536105,0.11009115614638952,4241.0,1.499776089E9
14503.0,14503.0,70.25485886754912,8.400012364525491,-417.11078444972804,-826.1697595619969,11996.0,2507.0,69.85925223489856,66.90242631079347,30.140747765102105,33.09757368920654,0.8994298300648587,0.10057016993514145,4233.0,1.49977855E9
14504.0,14504.0,69.55231027887363,8.025335734646847,-434.6711020619712,-857.6211151125702,11997.0,2507.0,69.16065971254959,66.90242631079347,30.83934028745109,33.09757368920654,0.9024168646821024,0.0975831353178978,4232.0,1.499781708E9
14505.0,14505.0,69.85678717608491,8.081760952145387,-434.6711020619717,-857.6211151125686,11998.0,2507.0,69.4690531154241,66.90242631079347,30.530946884576583,33.09757368920654,0.9053151813841793,0.09468481861582093,4231.0,1.4997833E9
14506.0,14506.0,69.15821930432406,7.7227831237257405,-452.5879652516898,-889.7110605779009,11999.0,2507.0,68.77436258426985,66.90242631079347,31.225637415730823,33.09757368920654,0.8971994092746342,0.1028005907253661,4232.0,1.499785951E9
14507.0,14507.0,68.46663711128083,7.382776988812602,-470.685806857465,-922.1251469065159,12000.0,2507.0,68.08661895842715,66.90242631079347,31.91338104157352,33.09757368920654,0.8971994092746342,0.1028005907253661,4233.0,1.49978664E9
14508.0,14508.0,68.78197074016803,7.438129377524992,-470.6858068574656,-922.1251469065152,12001.0,2507.0,68.40575276884289,66.90242631079347,31.594247231157784,33.09757368920654,0.9012501627235705,0.09874983727642968,4230.0,1.499787834E9
14509.0,14509.0,69.09415103276636,7.492863107657706,-470.6858068574655,-922.1251469065164,12002.0,2507.0,68.72169524115446,66.90242631079347,31.27830475884621,33.09757368920654,0.9012501627235705,0.09874983727642968,4231.0,1.499788089E9
14510.0,14510.0,69.4032095224387,7.5469857751615095,-470.6858068574658,-922.1251469065221,12003.0,2507.0,69.03447828874293,66.90242631079347,30.965521711257743,33.09757368920654,0.9012501627235705,0.09874983727642968,4232.0,1.499788093E9
14511.0,14511.0,68.70917742721431,7.212728648438118,-489.5260283630448,-955.8688705855496,12004.0,2507.0,68.3441335058555,66.90242631079347,31.655866494145172,33.09757368920654,0.8932152844853715,0.10678471551462873,4234.0,1.499791013E9
14512.0,14512.0,69.02208565294218,10.672533424227183,-395.2729726936093,-687.4648630523899,12004.0,2508.0,68.3441335058555,67.23340204768927,31.655866494145172,32.76659795231074,0.9135334399477263,0.08646656005227385,4216.0,1.499810068E9
14513.0,14513.0,69.33186479641276,13.852630700800894,-395.27297269360923,-526.5784794400766,12004.0,2509.0,68.3441335058555,67.56106802721605,31.655866494145172,32.43893197278397,0.9185934501237948,0.08140654987620533,4212.0,1.499813593E9
