learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
31.0,31.0,40.08241098547448,0.0,-Infinity,-Infinity,31.0,0.0,40.08241098547448,0.0,59.91758901452553,0.0,0.8698294401525838,0.13017055984741588,1573.0,1.231775936E9
32.0,32.0,42.261076617374286,0.0,-Infinity,-Infinity,32.0,0.0,42.261076617374286,0.0,57.73892338262573,0.0,0.8698294401525838,0.13017055984741588,1574.0,1.231776125E9
33.0,33.0,40.76388753042184,0.0,-Infinity,-Infinity,33.0,0.0,40.76388753042184,0.0,59.23611246957818,0.0,0.8698294401525838,0.13017055984741588,1575.0,1.231776464E9
34.0,34.0,42.81041622070036,0.0,-Infinity,-Infinity,34.0,0.0,42.81041622070036,0.0,57.18958377929966,0.0,0.8798858065300846,0.12011419346991503,1569.0,1.231791301E9
35.0,35.0,44.73889840798995,0.0,-Infinity,-Infinity,35.0,0.0,44.73889840798995,0.0,55.26110159201008,0.0,0.8798858065300846,0.12011419346991503,1570.0,1.231791326E9
36.0,36.0,46.55917204562921,0.0,-Infinity,-Infinity,36.0,0.0,46.55917204562921,0.0,53.44082795437082,0.0,0.8798858065300846,0.12011419346991503,1571.0,1.23179134E9
37.0,37.0,48.280011544811664,0.0,-Infinity,-Infinity,37.0,0.0,48.280011544811664,0.0,51.71998845518836,0.0,0.8798858065300846,0.12011419346991503,1572.0,1.231791393E9
38.0,38.0,49.90926771429002,0.0,-Infinity,-Infinity,38.0,0.0,49.90926771429002,0.0,50.09073228570999,0.0,0.8798858065300846,0.12011419346991503,1573.0,1.2317914E9
39.0,39.0,48.37014533623992,0.0,-Infinity,-Infinity,39.0,0.0,48.37014533623992,0.0,51.62985466376008,0.0,0.8916338013011146,0.10836619869888502,1561.0,1.231870202E9
40.0,40.0,46.90893631288771,0.0,-Infinity,-Infinity,40.0,0.0,46.90893631288771,0.0,53.0910636871123,0.0,0.8979753750589548,0.10202462494104471,1559.0,1.231880373E9
