learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
61.0,61.0,74.91898142863555,32.975220812607276,12.945136734298151,-28.458735887924995,50.0,11.0,78.78891453573577,55.44972681467358,21.211085464264183,44.55027318532641,0.8190818981355585,0.1809181018644413,4317.0,1.303321233E9
62.0,62.0,75.45983327305726,33.41515236706002,19.131402654048994,-28.458735887925002,51.0,11.0,79.31781126044073,55.44972681467358,20.682188739559233,44.55027318532641,0.826210793212244,0.17378920678775586,4317.0,1.303322378E9
63.0,63.0,75.98297240545152,33.83521641235354,19.131402654048983,-28.458735887925023,52.0,11.0,79.82593125587385,55.44972681467358,20.174068744126124,44.55027318532641,0.818095164160935,0.18190483583906494,4318.0,1.303331893E9
64.0,64.0,76.48922977840557,34.236709239163446,19.131402654048983,-28.45873588792503,53.0,11.0,80.3144510044068,55.44972681467358,19.68554899559317,44.55027318532641,0.8199142125193256,0.1800857874806743,4318.0,1.303332987E9
65.0,65.0,76.9793852185003,34.620816795236784,19.131402654048955,-28.458735887925002,54.0,11.0,80.78445984942681,55.44972681467358,19.21554015057317,44.55027318532641,0.8252629404932891,0.17473705950671078,4318.0,1.303333974E9
66.0,66.0,77.45417129944725,34.988626182080566,19.13140265404895,-28.458735887924995,55.0,11.0,81.23696791703217,55.44972681467358,18.763032082967815,44.55027318532641,0.8270103110883562,0.17298968891164368,4320.0,1.303334638E9
67.0,67.0,77.91427686837699,35.34113574357429,19.131402654048916,-28.458735887924952,56.0,11.0,81.67291318897433,55.44972681467358,18.32708681102564,44.55027318532641,0.8270103110883562,0.17298968891164368,4321.0,1.303334658E9
68.0,68.0,78.36035026098374,39.71815542738388,24.806881094555074,-14.705854505381039,56.0,12.0,81.67291318897433,59.37088360587275,18.32708681102564,40.62911639412724,0.8617409138329741,0.1382590861670254,4310.0,1.303383643E9
69.0,69.0,78.79300223709174,40.06267294335138,29.78448633030542,-14.70585450538094,57.0,12.0,82.09316783107927,59.37088360587275,17.906832168920698,40.62911639412724,0.823050346342887,0.17694965365711252,4308.0,1.303392764E9
70.0,70.0,79.21280866460111,43.81368077396551,34.1852722838742,-3.4099270208419505,57.0,13.0,82.09316783107927,62.688115459775716,17.906832168920698,37.31188454022427,0.8283059280061569,0.17169407199384262,4309.0,1.303395579E9
71.0,71.0,79.62031297662084,44.1498402570388,38.10382577973074,-3.4099270208419825,58.0,13.0,82.49854386700403,62.688115459775716,17.501456132995934,37.31188454022427,0.8300228687260953,0.1699771312739042,4316.0,1.303398895E9
72.0,72.0,80.0160284238402,44.472447498406545,38.10382577973072,-3.409927020842024,59.0,13.0,82.8897982750007,62.688115459775716,17.110201724999264,37.31188454022427,0.8300228687260953,0.1699771312739042,4317.0,1.30339897E9
73.0,73.0,78.4768399381395,40.86030356024905,35.921655457510056,-3.095735424902055,59.0,14.0,82.8897982750007,57.91203046147865,17.110201724999264,42.08796953852134,0.8300228687260953,0.1699771312739042,4318.0,1.303399132E9
74.0,74.0,78.88707059771072,41.20282176646186,39.42572786635076,-3.095735424902028,60.0,14.0,83.2676375750035,57.91203046147865,16.732362424996463,42.08796953852134,0.8187504494479705,0.18124955055202902,4316.0,1.303400602E9
75.0,75.0,79.28586917479092,41.53201295112408,39.42572786635079,-3.0957354249019917,61.0,14.0,83.6327219645266,57.91203046147865,16.36727803547337,42.08796953852134,0.8187504494479705,0.18124955055202902,4317.0,1.303401545E9
76.0,76.0,79.67368765917134,44.98698621245726,42.62683499108597,5.845263984626297,61.0,15.0,83.6327219645266,60.91956759816426,16.36727803547337,39.08043240183572,0.8241337423489163,0.1758662576510832,4316.0,1.303403664E9
77.0,77.0,80.05095456894905,45.307636946329396,45.53420722475291,5.845263984626334,62.0,15.0,83.98566905431328,60.91956759816426,16.01433094568669,39.08043240183572,0.8276334808761728,0.17236651912382667,4315.0,1.303404586E9
78.0,78.0,80.41807645507463,45.61609686198773,45.53420722475288,5.84526398462636,63.0,15.0,84.32705724820862,60.91956759816426,15.672942751791355,39.08043240183572,0.8276334808761728,0.17236651912382667,4316.0,1.303404689E9
79.0,79.0,78.95047640820624,42.5245670483343,40.36383939482404,-3.0927243071840986,64.0,15.0,82.5495186121988,60.91956759816426,17.450481387801194,39.08043240183572,0.831063574606737,0.1689364253932625,4317.0,1.303408527E9
80.0,80.0,79.33147926871005,42.84054948131665,40.363839394824055,-3.0927243071840835,65.0,15.0,82.91332840251549,60.91956759816426,17.086671597484486,39.08043240183572,0.8327529388606696,0.16724706113932988,4317.0,1.303409873E9
81.0,81.0,79.70257983122598,43.14499721730666,40.363839394824055,-3.0927243071840627,66.0,15.0,83.26573053952173,60.91956759816426,16.73426946047827,39.08043240183572,0.8327529388606696,0.16724706113932988,4320.0,1.303410261E9
82.0,82.0,80.06414115945073,46.311392215367,43.38086560072972,5.602754839206192,66.0,16.0,83.26573053952173,63.55049839069983,16.73426946047827,36.449501609300164,0.8377203438235689,0.16227965617643064,4320.0,1.303411798E9
83.0,83.0,80.41650882815715,46.60898445385107,46.13352675724094,5.6027548392062485,67.0,16.0,83.60723630863758,63.55049839069983,16.392763691362394,36.449501609300164,0.8377203438235689,0.16227965617643064,4321.0,1.303411811E9
84.0,84.0,79.00596753469398,43.670049241298834,41.22270315642368,-3.0031217196433904,68.0,16.0,81.91859051133207,63.55049839069983,18.081409488667923,36.449501609300164,0.8393431403853332,0.16065685961466633,4326.0,1.303413583E9
85.0,85.0,77.6305391036792,40.92049902224246,36.2622752768103,-11.695926324541986,69.0,16.0,80.28075253834453,63.55049839069983,19.719247461655456,36.449501609300164,0.8085890513250105,0.19141094867498937,4325.0,1.303420303E9
86.0,86.0,76.28899546872033,38.347775336144196,31.2517420650796,-20.476537036560778,70.0,16.0,78.69154239659439,63.55049839069983,21.308457603405596,36.449501609300164,0.8266002041922708,0.17339979580772916,4327.0,1.303452034E9
87.0,87.0,74.9801649952599,35.940057839927725,26.190597406765747,-29.345840786074728,71.0,16.0,77.14890287744555,63.55049839069983,22.85109712255445,36.449501609300164,0.8209754968095231,0.1790245031904768,4331.0,1.303478625E9
88.0,88.0,73.70292927443023,33.686251211672435,21.07833007513559,-38.304733462351436,72.0,16.0,75.65089103017775,63.55049839069983,24.34910896982224,36.449501609300164,0.8209754968095231,0.1790245031904768,4334.0,1.30348263E9
89.0,89.0,74.1477528219842,36.60724880465654,24.953653178314294,-26.827612560179194,72.0,17.0,75.65089103017775,65.8712829777952,24.34910896982224,34.12871702220478,0.8209754968095231,0.1790245031904768,4335.0,1.303483542E9
90.0,90.0,74.58204873561381,36.97174382690147,28.50001005648662,-26.827612560179176,73.0,17.0,76.11927053990426,65.8712829777952,23.88072946009571,34.12871702220478,0.8209754968095231,0.1790245031904768,4337.0,1.303484378E9
91.0,91.0,75.0061652110147,39.61444642118059,31.757425058558525,-16.927456806377275,73.0,18.0,76.11927053990426,67.93361259029112,23.88072946009571,32.06638740970887,0.8209754968095231,0.1790245031904768,4340.0,1.303486859E9
92.0,92.0,73.76294614814228,37.3946518558226,30.360291716543987,-24.812299172488668,74.0,18.0,74.66843997088394,67.93361259029112,25.331560029116044,32.06638740970887,0.8209754968095231,0.1790245031904768,4341.0,1.303488985E9
93.0,93.0,74.19498188527923,37.76515946747253,30.360291716543976,-24.812299172488707,75.0,18.0,75.14692355325872,67.93361259029112,24.85307644674127,32.06638740970887,0.8209754968095231,0.1790245031904768,4342.0,1.303489648E9
94.0,94.0,74.6171732980676,40.18244512444923,33.351934491883775,-15.518878621140425,75.0,19.0,75.14692355325872,69.77829610584817,24.85307644674127,30.221703894151826,0.8209754968095231,0.1790245031904768,4344.0,1.303491751E9
95.0,95.0,73.40409091088596,38.03857981706774,31.964888718564815,-23.040007186553172,76.0,19.0,73.73999191590477,69.77829610584817,26.260008084095226,30.221703894151826,0.8209754968095231,0.1790245031904768,4345.0,1.303492372E9
96.0,96.0,73.83378289337853,38.41472165123751,31.96488871856486,-23.040007186553062,77.0,19.0,74.22739129925107,69.77829610584817,25.772608700748922,30.221703894151826,0.8209754968095231,0.1790245031904768,4346.0,1.303492965E9
97.0,97.0,72.64819959711303,36.37256560437475,27.72163134097811,-30.71384512698037,78.0,19.0,72.86138609413247,69.77829610584817,27.138613905867505,30.221703894151826,0.8209754968095231,0.1790245031904768,4347.0,1.303493389E9
98.0,98.0,73.0847557191282,38.609687906790796,30.692243939248463,-21.31063171082175,78.0,20.0,72.86138609413247,71.43798063722834,27.138613905867505,28.56201936277166,0.8209754968095231,0.1790245031904768,4348.0,1.303493699E9
99.0,99.0,71.92517786040428,35.88435916338704,26.540768412334888,-19.86701429588922,78.0,21.0,72.86138609413247,67.68346440989663,27.138613905867505,32.31653559010338,0.8209754968095231,0.1790245031904768,4349.0,1.303494093E9
100.0,100.0,72.36802098896354,37.99461976386211,26.540768412334852,-12.190291301741123,78.0,22.0,72.86138609413247,69.3125732283888,27.138613905867505,30.68742677161121,0.8209754968095231,0.1790245031904768,4350.0,1.303495513E9
101.0,101.0,71.23306419572275,36.03306917576043,25.462246885888568,-18.659348444946037,79.0,22.0,71.53169284156654,69.3125732283888,28.468307158433436,30.68742677161121,0.8209754968095231,0.1790245031904768,4352.0,1.303496879E9
102.0,102.0,71.68167019084581,36.462927332979646,25.46224688588858,-18.65934844494603,80.0,22.0,72.04697796969613,69.3125732283888,27.953022030303853,30.68742677161121,0.8767655868605478,0.12323441313945199,4339.0,1.30371735E9
103.0,103.0,70.5700493119431,34.58456992246538,21.316097592077533,-25.259753651766637,81.0,22.0,70.75338398685973,69.3125732283888,29.24661601314024,30.68742677161121,0.8896635156751254,0.11033648432487438,4330.0,1.303740216E9
104.0,104.0,71.02394148601034,36.56284170368658,24.478941853705052,-17.4305684456213,81.0,23.0,70.75338398685973,70.79947005988399,29.24661601314024,29.200529940116027,0.8896635156751254,0.11033648432487438,4330.0,1.303740671E9
105.0,105.0,69.93446163750848,34.74477705324053,23.52380776804427,-23.744063127225917,82.0,23.0,69.49304216617651,70.79947005988399,30.506957833823474,29.200529940116027,0.8896635156751254,0.11033648432487438,4331.0,1.303740693E9
106.0,106.0,70.393205874105,35.18662021562728,23.52380776804428,-23.74406312722588,83.0,23.0,70.03225473269833,70.79947005988399,29.967745267301655,29.200529940116027,0.8896635156751254,0.11033648432487438,4332.0,1.303740905E9
107.0,107.0,70.84258761351468,37.04171580589046,26.45182231862763,-16.255266027221918,83.0,24.0,70.03225473269833,72.16193164220212,29.967745267301655,27.83806835779789,0.8907668805183742,0.10923311948162563,4332.0,1.303745476E9
108.0,108.0,69.77285475746139,34.53592792159053,22.584487441174268,-15.318830039993916,83.0,25.0,70.03225473269833,68.91400774425003,29.967745267301655,31.08599225574999,0.8907668805183742,0.10923311948162563,4333.0,1.303747602E9
109.0,109.0,70.22697276034968,35.00110609274973,25.494951799285055,-15.318830039993921,84.0,25.0,70.55790229919296,68.91400774425003,29.442097700807025,31.08599225574999,0.8907668805183742,0.10923311948162563,4334.0,1.303747637E9
110.0,110.0,69.1771903042325,33.2398120539491,21.697440304729234,-21.196614071967794,85.0,25.0,69.32954768392345,68.91400774425003,30.670452316076524,31.08599225574999,0.9345741669814444,0.06542583301855551,4293.0,1.30380292E9
111.0,111.0,69.63567391403454,33.69836359381092,21.697440304729273,-21.19661407196776,86.0,25.0,69.85956783528412,68.91400774425003,30.140432164715865,31.08599225574999,0.9345741669814444,0.06542583301855551,4294.0,1.303802979E9
112.0,112.0,70.0851465683984,35.52339609419162,24.618196014506477,-14.339527557327486,86.0,26.0,69.85956783528412,70.26582621317944,30.140432164715865,29.734173786820573,0.9345741669814444,0.06542583301855551,4295.0,1.303803951E9
