learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
8115.0,8115.0,63.65183222159925,30.97718132502154,24.564492547102283,-1.8910527011986695,5878.0,2237.0,58.86421576534634,75.1355059485726,41.13578423465436,24.864494051427428,0.8096731709795538,0.19032682902044612,5560.0,1.462299494E9
8116.0,8116.0,64.01531389938326,31.656376318320383,26.113394097784514,0.9145628515357154,5878.0,2238.0,58.86421576534634,75.38415088912926,41.13578423465436,24.615849110870773,0.8332455553291058,0.1667544446708943,5573.0,1.462372725E9
8117.0,8117.0,64.37516076038943,32.215132946020624,27.61467964800997,0.9145628515357409,5879.0,2238.0,59.27557360769288,75.38415088912926,40.72442639230782,24.615849110870773,0.8552652452140013,0.14473475478599887,5581.0,1.462385576E9
8118.0,8118.0,63.731409152785545,31.22992722401033,25.562277819267575,-1.8948898305322597,5880.0,2238.0,58.68281787161595,75.38415088912926,41.317182128384744,24.615849110870773,0.9244804313304997,0.07551956866950026,5552.0,1.462534688E9
8119.0,8119.0,64.09409506125769,31.77845545407086,25.56227781926756,-1.8948898305323016,5881.0,2238.0,59.0959896928998,75.38415088912926,40.9040103071009,24.615849110870773,0.968553894980018,0.031446105019982025,5555.0,1.462906309E9
8120.0,8120.0,63.4531541106451,30.806394615918244,23.468203919928293,-4.761385782035215,5882.0,2238.0,58.5050297959708,75.38415088912926,41.4949702040299,24.615849110870773,0.9669466432089714,0.03305335679102877,5541.0,1.462919188E9
8121.0,8121.0,62.818622569538654,29.858359793309408,21.35297775897956,-7.656836238098719,5883.0,2238.0,57.919979498011095,75.38415088912926,42.0800205019896,24.615849110870773,0.9403734358702001,0.05962656412980008,5539.0,1.462984154E9
8122.0,8122.0,62.19043634384327,28.9339742894982,19.21638567721315,-10.581533668465914,5884.0,2238.0,57.34077970303099,75.38415088912926,42.659220296969714,24.615849110870773,0.9329219604069051,0.06707803959309508,5546.0,1.462987361E9
8123.0,8123.0,62.56853198040485,29.47955452744186,19.21638567721317,-10.581533668465934,5885.0,2238.0,57.76737190600068,75.38415088912926,42.23262809400001,24.615849110870773,0.8608635390242915,0.13913646097570884,5562.0,1.463000879E9
8124.0,8124.0,62.942846660600814,30.011489504101068,19.216385677213193,-10.581533668465934,5886.0,2238.0,58.18969818694069,75.38415088912926,41.810301813060015,24.615849110870773,0.8608635390242915,0.13913646097570884,5563.0,1.463000885E9
8125.0,8125.0,63.313418193994806,30.725413985196067,20.956909387139515,-7.345889329129454,5886.0,2239.0,58.18969818694069,75.6303093802795,41.810301813060015,24.36969061972053,0.8328403244393281,0.1671596755606722,5593.0,1.463064493E9
8126.0,8126.0,63.68028401205487,31.252503536894476,22.64049479343461,-7.345889329129422,5887.0,2239.0,58.607801205071276,75.6303093802795,41.39219879492941,24.36969061972053,0.8076777585038719,0.19232224149612825,5609.0,1.463085944E9
8127.0,8127.0,64.04348117193433,31.766480243707957,22.640494793434616,-7.345889329129439,5888.0,2239.0,59.021723193020584,75.6303093802795,40.97827680698012,24.36969061972053,0.8076777585038719,0.19232224149612825,5610.0,1.463085944E9
8128.0,8128.0,64.403046360215,32.26780241418569,22.640494793434637,-7.345889329129443,5889.0,2239.0,59.43150596109038,75.6303093802795,40.568494038910316,24.36969061972053,0.8096009809188331,0.19039901908116696,5610.0,1.463087022E9
8129.0,8129.0,64.75901589661287,32.75690731107334,22.640494793434645,-7.345889329129454,5890.0,2239.0,59.837190901479474,75.6303093802795,40.162809098521215,24.36969061972053,0.7772228364916728,0.2227771635083271,5671.0,1.463167039E9
8130.0,8130.0,64.11142573764673,31.77685439946909,20.42316413885293,-10.422710082018812,5891.0,2239.0,59.238818992464694,75.6303093802795,40.76118100753601,24.36969061972053,0.8867768278443194,0.1132231721556806,5620.0,1.463427045E9
8131.0,8131.0,63.47031148027026,30.821071685016104,18.18343620493204,-13.530609832412125,5892.0,2239.0,58.64643080254004,75.6303093802795,41.35356919746066,24.36969061972053,0.9289751774662429,0.07102482253375704,5628.0,1.46359293E9
8132.0,8132.0,62.83560836546756,29.889163022281956,15.921084756527074,-16.669902509577074,5893.0,2239.0,58.05996649451464,75.6303093802795,41.940033505486056,24.36969061972053,0.9728239857678757,0.027176014232124266,5629.0,1.464048491E9
8133.0,8133.0,62.20725228181288,28.98072468129953,13.635881273289725,-19.84090521378409,5894.0,2239.0,57.4793668295695,75.6303093802795,42.520633170431196,24.36969061972053,0.9546791525452768,0.04532084745472304,5614.0,1.464110762E9
8134.0,8134.0,62.585179758994755,29.471885116342033,13.635881273289737,-19.840905213784065,5895.0,2239.0,57.90457316127381,75.6303093802795,42.095426838726894,24.36969061972053,0.9692825743336428,0.030717425666357025,5594.0,1.464183379E9
8135.0,8135.0,61.95932796140481,28.575532891165388,11.304278902881274,-23.076292117372528,5896.0,2239.0,57.32552742966107,75.6303093802795,42.67447257033963,24.36969061972053,0.9751272443979355,0.024872755602064242,5595.0,1.464205347E9
8136.0,8136.0,61.33973468179076,27.702065633587726,8.949124993377785,-26.344359696754776,5897.0,2239.0,56.75227215536446,75.6303093802795,43.247727844636245,24.36969061972053,0.9816016133939577,0.01839838660604236,5578.0,1.464216959E9
8137.0,8137.0,61.72633733497286,28.463853552873385,11.064842013816882,-22.306912666260423,5897.0,2240.0,56.75227215536446,75.87400628651741,43.247727844636245,24.125993713482615,0.9145844814620293,0.08541551853797075,5587.0,1.464271275E9
8138.0,8138.0,61.109073961623125,27.598482766709694,10.811091000923625,-25.53478079865674,5898.0,2240.0,56.18474943381081,75.87400628651741,43.81525056618989,24.125993713482615,0.9222728977323447,0.07772710226765543,5596.0,1.464537442E9
8139.0,8139.0,61.4979832220069,28.094635518162253,10.811091000923614,-25.534780798656758,5899.0,2240.0,56.622901939472705,75.87400628651741,43.37709806052799,24.125993713482615,0.9803759439748475,0.01962405602515248,5521.0,1.464722812E9
8140.0,8140.0,60.88300338978683,27.24029528114072,8.471218583609929,-28.82818772896628,5900.0,2240.0,56.05667292007798,75.87400628651741,43.94332707992272,24.125993713482615,0.9749187403315612,0.0250812596684386,5498.0,1.464889766E9
8141.0,8141.0,61.27417335588896,27.727090699745865,8.471218583609904,-28.828187728966327,5901.0,2240.0,56.49610619087721,75.87400628651741,43.5038938091235,24.125993713482615,0.9407104556533106,0.059289544346689434,5514.0,1.465051257E9
8142.0,8142.0,61.661431622330085,28.492357090148417,10.605408352540763,-24.639941162119143,5901.0,2241.0,56.49610619087721,76.11526622369213,43.5038938091235,23.884733776307886,0.9407104556533106,0.059289544346689434,5516.0,1.465054783E9
8143.0,8143.0,62.04481730610679,29.234172560896333,10.605408352540751,-20.67706157958532,5901.0,2242.0,56.49610619087721,76.35411356149433,43.5038938091235,23.645886438505702,0.9407104556533106,0.059289544346689434,5518.0,1.465056504E9
8144.0,8144.0,62.42436913304573,29.953563009673196,10.605408352540751,-16.92201995382098,5901.0,2243.0,56.49610619087721,76.59057242591771,43.5038938091235,23.40942757408232,0.9407104556533106,0.059289544346689434,5518.0,1.46505817E9
8145.0,8145.0,62.800125441715274,30.45558853041156,12.703227084350821,-16.922019953821053,5902.0,2243.0,56.93114512896844,76.59057242591771,43.06885487103226,23.40942757408232,0.9407104556533106,0.059289544346689434,5519.0,1.465059039E9
8146.0,8146.0,63.17212418729813,31.164199838680208,14.724594737046814,-13.32417691190067,5902.0,2244.0,56.93114512896844,76.8246667016961,43.06885487103226,23.175333298303933,0.949619242486866,0.05038075751313378,5497.0,1.465135938E9
8147.0,8147.0,62.54040294542516,30.25398730956358,14.388071911152856,-16.432389455837168,5903.0,2244.0,56.36183367767876,76.8246667016961,43.63816632232194,23.175333298303933,0.9109797065142153,0.08902029348578458,5461.0,1.465247535E9
8148.0,8148.0,62.91499891597091,30.755461844717868,14.388071911152847,-16.432389455837153,5904.0,2244.0,56.79821534090198,76.8246667016961,43.20178465909873,23.175333298303933,0.9177196160942264,0.08228038390577376,5458.0,1.465305503E9
8149.0,8149.0,63.285848926811205,31.456360277904295,16.33892351855806,-12.853443543696045,5904.0,2245.0,56.79821534090198,77.05642003471594,43.20178465909873,22.943579965284076,0.9093569957339512,0.09064300426604888,5466.0,1.465307581E9
8150.0,8150.0,63.6529904375431,31.954334113993138,18.221251182306386,-12.853443543696045,5905.0,2245.0,57.23023318749297,77.05642003471594,42.76976681250773,22.943579965284076,0.9251135939051952,0.07488640609480482,5474.0,1.465320475E9
8151.0,8151.0,64.01646053316767,32.6447139550047,20.038512762673697,-9.421703309181268,5905.0,2246.0,57.23023318749297,77.28585583440486,42.76976681250773,22.71414416559515,0.920756253214951,0.07924374678504897,5504.0,1.465405389E9
8152.0,8152.0,64.376295927836,33.13897392141858,21.793937481365937,-9.421703309181293,5906.0,2246.0,57.657930855618055,77.28585583440486,42.34206914438265,22.71414416559515,0.9510585961931505,0.04894140380684969,5468.0,1.465438896E9
8153.0,8153.0,63.73253296855764,32.19214036353165,19.576424597639118,-12.524327697023699,5907.0,2246.0,57.08135154706188,77.28585583440486,42.91864845293883,22.71414416559515,0.8458667041271724,0.1541332958728278,5519.0,1.465509627E9
8154.0,8154.0,63.09520763887206,31.268581084867446,17.33651259387464,-15.658291725147397,5908.0,2246.0,56.51053803159125,77.28585583440486,43.48946196840945,22.71414416559515,0.8458667041271724,0.1541332958728278,5526.0,1.465513551E9
8155.0,8155.0,63.46425556248334,31.75728809376725,17.336512593874602,-15.658291725147464,5909.0,2246.0,56.945432651275354,77.28585583440486,43.05456734872536,22.71414416559515,0.8315156469464734,0.1684843530535268,5584.0,1.465591206E9
8156.0,8156.0,63.82961300685852,32.234309993069395,17.336512593874616,-15.658291725147452,5910.0,2246.0,57.37597832476261,77.28585583440486,42.6240216752381,22.71414416559515,0.8904731688958333,0.10952683110416671,5544.0,1.465837883E9
8157.0,8157.0,64.19131687678994,32.700037678899754,17.336512593874634,-15.658291725147484,5911.0,2246.0,57.80221854151498,77.28585583440486,42.197781458485714,22.71414416559515,0.8904731688958333,0.10952683110416671,5545.0,1.465837887E9
8158.0,8158.0,63.54940370802205,31.76669960077932,15.004718603012169,-18.920812072409483,5912.0,2246.0,57.224196356099846,77.28585583440486,42.775803643900865,22.71414416559515,0.9328311941252342,0.06716880587476555,5530.0,1.465932156E9
8159.0,8159.0,62.91390967094183,30.8565375761975,12.649371137494498,-22.21628717065391,5913.0,2246.0,56.65195439253884,77.28585583440486,43.34804560746186,22.71414416559515,0.9328311941252342,0.06716880587476555,5543.0,1.465935774E9
